#COMBINATION;FREQ1;FREQ2;ORDER1;ORDER2;SIGN
2.929805E10;2.062435E10;3.2575E10;3;1;-
1.4014E10;3.2742E10;2.1053E10;3;4;-
2.8217E10;2.0319E10;3.274E10;3;1;-
2.926556E10;2.062452E10;3.2608E10;3;1;-
2.931889E10;2.062463E10;3.2555E10;3;1;-
2.919836E10;2.062412E10;3.2674E10;3;1;-
2.923085E10;2.062495E10;3.2644E10;3;1;-
2.92864E10;2.06248E10;3.2588E10;3;1;-
2.927154E10;2.062418E10;3.2601E10;3;1;-
2.930403E10;2.062401E10;3.2568E10;3;1;-
2.92192E10;2.06244E10;3.2654E10;3;1;-
2.925169E10;2.062423E10;3.2621E10;3;1;-
2.8028E10;2.0256E10;3.274E10;3;1;-
2.9824E10;2.0855E10;3.2741E10;3;1;-
2.914149E10;2.062483E10;3.2733E10;3;1;-
2.91593E10;2.06241E10;3.2713E10;3;1;-
2.87E10;2.048E10;3.274E10;3;1;-
2.920647E10;2.062449E10;3.2667E10;3;1;-
2.91467E10;2.06249E10;3.2728E10;3;1;-
2.933421E10;2.062407E10;3.2538E10;3;1;-
2.927444E10;2.062448E10;3.2599E10;3;1;-
2.8553E10;2.0431E10;3.274E10;3;1;-
1.4182E10;3.2742E10;2.1011E10;3;4;-
2.933942E10;2.062414E10;3.2533E10;3;1;-
2.935505E10;2.062435E10;3.2518E10;3;1;-
1.435E10;3.2742E10;2.0969E10;3;4;-
2.920724E10;2.062408E10;3.2665E10;3;1;-
2.913261E10;2.062487E10;3.2742E10;3;1;-
2.8364E10;2.0368E10;3.274E10;3;1;-
2.926479E10;2.062493E10;3.261E10;3;1;-
2.921535E10;2.062445E10;3.2658E10;3;1;-
2.915558E10;2.062486E10;3.2719E10;3;1;-
2.916297E10;2.062499E10;3.2712E10;3;1;-
2.915037E10;2.062479E10;3.2724E10;3;1;-
2.916818E10;2.062406E10;3.2704E10;3;1;-
2.922795E10;2.062465E10;3.2646E10;3;1;-
2.929592E10;2.062464E10;3.2578E10;3;1;-
2.934309E10;2.062403E10;3.2529E10;3;1;-
2.928332E10;2.062444E10;3.259E10;3;1;-
2.922872E10;2.062424E10;3.2644E10;3;1;-
2.921612E10;2.062404E10;3.2656E10;3;1;-
2.93609E10;2.06243E10;3.2512E10;3;1;-
2.93483E10;2.06241E10;3.2524E10;3;1;-
